ID,Original,TekNoiseLab-version,Designator,Footprint,Quantity,Reason
1,1N4148,BAT85,"D3,D4",DIODE-1N4148,2,"very similar sound, but less amplification of the kick drum"
2,500k,510k,"R9,R10",RES-TH_BD2.4-L6.3-P10.30-D0.6,2,"avalability"
3,50k,51k,"R11,R13",RES-TH_BD2.4-L6.3-P10.30-D0.6,2,"avalability"
4,TL074,,"U1",PDIP-14_L19.3-W6.4-P2.54-LS7.9-BL-1,1
5,,10,"R23,R22",RES-TH_BD2.4-L6.3-P10.30-D0.6,2,"saver powering"
6,100k,,"R21,R17,R1",RES-TH_BD2.4-L6.3-P10.30-D0.6,3
7,1k,,"R20,R18,R15,R4,R3",RES-TH_BD2.4-L6.3-P10.30-D0.6,5
8,3k,,"R19",RES-TH_BD2.4-L6.3-P10.30-D0.6,1
9,100,,"R16",RES-TH_BD2.4-L6.3-P10.30-D0.6,1
10,10k,,"R14,R7,R6,R5,R2",RES-TH_BD2.4-L6.3-P10.30-D0.6,5
11,1M,,"R12",RES-TH_BD2.4-L6.3-P10.30-D0.6,1
12,220,,"R8",RES-TH_BD2.4-L6.3-P10.30-D0.6,1
13,OUT,,"J2",PJM323 TAYDA A-2557,1
14,TRIG,,"J1",PJM323 TAYDA A-2557,1
15,10kΩ,,"TONE,FREQ",RES-ADJ-TH_RK097111080J,2
16,100kΩ,,DIST,RES-ADJ-TH_RK097111080J,1
17,,1N5819,"D8,D7",DO41-7.6,2,"saver powering"
18,1N4148,,"D6,D5,D2,D1",DIODE-1N4148,4
19,DC3-2.54-10PAS,,"CN1",CONN-TH_10P-P2.54_DC3-2.54-10PAS,1
20,,47uF,"C8,C7",CAP-TH_BD5.0-P2.00-D0.5-FD,2,"stable powering"
21,100nF,,"C6,C5,C4,C3,C2,C1",CAP-2.5*6.5*7.2,6
22,100kΩ,500kΩ,DECAY,RES-ADJ-TH_RK097111080J,1,"shorter kicks possible"
